Date,MatchID,Match type,Home team,Away team,Venue,Team count,Contest count,19contest_count,20contest_count,29contest_count,33contest_count,39contest_count,40contest_count,49contest_count,50contest_count,19contest_cost,20contest_cost,29contest_cost,33contest_cost,39contest_cost,40contest_cost,49contest_cost,50contest_cost,19contest_winnings,20contest_winnings,29contest_winnings,33contest_winnings,39contest_winnings,40contest_winnings,49contest_winnings,50contest_winnings,Total cost,Total winnings,Net P/L
31/03/2023,M1,Group,GT,CSK,Ahmedabad,2,1,,,,,,,,2,,,,,,,,75,,,,,,,,75,75,75,0
01/04/2023,M2,Group,PBKS,KKR,Mohali,3,1,,,,,,3,,,,,,,,95,,,,,,,,80,,,95,80,-15
01/04/2023,M3,Group,LSG,DC,Lucknow,5,1,,,,5,,,,,,,,140,,,,,,,,132,,,,,140,132,-8
02/04/2023,M4,Group,SRH,RR,Hyderabad,6,2,1,,,,,,,6,19,,,,,,,275,66,,,,,,,200,294,266,-28
02/04/2023,M5,Group,RCB,MI,Bengaluru,6,1,,,,,,,,6,,,,,,,,275,,,,,,,,196,275,196,-79
03/04/2023,M6,Group,CSK,LSG,Chennai,5,2,1,,,,,,5,,19,,,,,,245,,66,,,,,,256,,264,322,58
04/04/2023,M7,Group,DC,GT,Delhi,7,2,1,,,,,,7,,19,,,,,,343,,0,,,,,,147,,362,147,-215
05/04/2023,M8,Group,RR,PBKS,Guwahati,5,1,,,,,,,5,,,,,,,,245,,,,,,,,207,,245,207,-38
06/04/2023,M9,Group,KKR,RCB,Eden Gardens,1,2,1,,,,,,1,,19,,,,,,49,,66,,,,,,49,,68,115,47
07/04/2023,M10,Group,LSG,SRH,Lucknow,5,2,1,,,,,,5,,19,,,,,,245,,0,,,,,,196,,264,196,-68
08/04/2023,M11,Group,RR,DC,Guwahati,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
08/04/2023,M12,Group,MI,CSK,Wankhede,3,1,,,,,,,3,,,,,,,,147,,,,,,,,98,,147,98,-49
09/04/2023,M13,Group,GT,KKR,Ahmedabad,3,1,,,,,,,3,,,,,,,,147,,,,,,,,98,,147,98,-49
09/04/2023,M14,Group,SRH,PBKS,Hyderabad,1,1,,,,,,,1,,,,,,,,49,,,,,,,,49,,49,49,0
10/04/2023,M15,Group,RCB,LSG,Bengaluru,3,1,,,,,,,3,,,,,,,,147,,,,,,,,147,,147,147,0
11/04/2023,M16,Group,DC,MI,Delhi,1,2,1,,,,,,1,,19,,,,,,49,,0,,,,,,49,,68,49,-19
12/04/2023,M17,Group,CSK,RR,Chennai,4,2,1,,,,,,4,,19,,,,,,196,,66,,,,,,147,,215,213,-2
13/04/2023,M18,Group,PBKS,GT,Mohali,4,3,2,,,,,,4,,38,,,,,,196,,0,,,,,,49,,234,49,-185
14/04/2023,M19,Group,KKR,SRH,Eden Gardens,2,2,1,,,,,,1,,19,,,,,,49,,0,,,,,,49,,68,49,-19
15/04/2023,M20,Group,RCB,DC,Bengaluru,1,1,1,,,,,,,,19,,,,,,,,66,,,,,,,,19,66,47
15/04/2023,M21,Group,LSG,PBKS,Lucknow,1,1,1,,,,,,,,19,,,,,,,,0,,,,,,,,19,0,-19
16/04/2023,M22,Group,MI,KKR,Wankhede,2,2,2,,,,,,,,38,,,,,,,,66,,,,,,,,38,66,28
16/04/2023,M23,Group,GT,RR,Ahmedabad,2,2,2,,,,,,,,38,,,,,,,,0,,,,,,,,38,0,-38
17/04/2023,M24,Group,RCB,CSK,Bengaluru,2,2,2,,,,,,,,38,,,,,,,,0,,,,,,,,38,0,-38
18/04/2023,M25,Group,SRH,MI,Hyderabad,1,1,1,,,,,,,,19,,,,,,,,66,,,,,,,,19,66,47
19/04/2023,M26,Group,RR,LSG,Jaipur,2,2,2,,,,,,,,38,,,,,,,,0,,,,,,,,38,0,-38
20/04/2023,M27,Group,PBKS,RCB,Mohali,1,1,1,,,,,,,,19,,,,,,,,66,,,,,,,,19,66,47
20/04/2023,M28,Group,DC,KKR,Delhi,1,1,1,,,,,,,,19,,,,,,,,0,,,,,,,,19,0,-19
21/04/2023,M29,Group,CSK,SRH,Chennai,1,1,1,,,,,,,,19,,,,,,,,0,,,,,,,,19,0,-19
22/04/2023,M30,Group,LSG,GT,Lucknow,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
22/04/2023,M31,Group,MI,PBKS,Wankhede,2,2,2,,,,,,,,38,,,,,,,,0,,,,,,,,38,0,-38
23/04/2023,M32,Group,RCB,RR,Bengaluru,2,2,2,,,,,,,,38,,,,,,,,0,,,,,,,,38,0,-38
23/04/2023,M33,Group,KKR,CSK,Eden Gardens,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
24/04/2023,M34,Group,SRH,DC,Hyderabad,1,1,1,,,,,,,,19,,,,,,,,0,,,,,,,,19,0,-19
25/04/2023,M35,Group,GT,MI,Ahmedabad,2,2,2,,,,,,,,38,,,,,,,,0,,,,,,,,38,0,-38
26/04/2023,M36,Group,RCB,KKR,Bengaluru,1,1,,,,,,,1,,,,,,,,49,,,,,,,,49,,49,49,0
27/04/2023,M37,Group,RR,CSK,Jaipur,2,2,1,,,,1,,,,19,,,,39,,,,0,,,,39,,,,58,39,-19
28/04/2023,M38,Group,PBKS,LSG,Mohali,1,1,,,,,,,1,,,,,,,,49,,,,,,,,0,,49,0,-49
29/04/2023,M39,Group,KKR,GT,Eden Gardens,1,2,1,,1,,,,,,19,,29,,,,,,0,,29,,,,,,48,29,-19
29/04/2023,M40,Group,DC,SRH,Delhi,1,1,,,,,,,1,,,,,,,,39,,,,,,0,,,,39,0,-39
30/04/2023,M41,Group,CSK,PBKS,Chennai,1,1,,,,1,,,,,,,,33,,,,,,,,0,,,,,33,0,-33
30/04/2023,M42,Group,MI,RR,Wankhede,1,1,,,,,,,1,,,,,,,,49,,,,,,,,60,,49,60,11
01/05/2023,M43,Group,LSG,RCB,Lucknow,1,2,1,,,1,,,,,19,,,33,,,,,66,,,33,,,,,52,99,47
02/05/2023,M44,Group,GT,DC,Ahmedabad,2,2,1,,,,,,1,,19,,,,,,49,,0,,,,,,60,,68,60,-8
03/05/2023,M45,Group,LSG,CSK,Lucknow,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
03/05/2023,M46,Group,PBKS,MI,Mohali,2,2,1,,,2,,,,,19,,,66,,,,,0,,,66,,,,,85,66,-19
04/05/2023,M47,Group,SRH,KKR,Hyderabad,1,1,,,,,,,1,,,,,,,,49,,,,,,,,0,,49,0,-49
05/05/2023,M48,Group,RR,GT,Jaipur,2,2,,,,1,,,1,,,,,33,,,49,,,,,0,,,49,,82,49,-33
06/05/2023,M49,Group,CSK,MI,Chennai,2,2,,1,,,,,1,,,20,,,,,49,,,0,,,,,60,,69,60,-9
06/05/2023,M50,Group,DC,RCB,Delhi,2,2,,1,,,,,1,,,20,,,,,49,,,0,,,,,49,,69,49,-20
07/05/2023,M51,Group,GT,LSG,Ahmedabad,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
07/05/2023,M52,Group,RR,SRH,Jaipur,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
08/05/2023,M53,Group,KKR,PBKS,Eden Gardens,1,1,,,,,,,1,,,,,,,,24,,,,,,,,49,,24,49,25
09/05/2023,M54,Group,MI,RCB,Wankhede,2,2,,,1,,,,1,,,,29,,,,24,,,,0,,,,49,,53,49,-4
10/05/2023,M55,Group,CSK,DC,Chennai,1,1,,,,,,,1,,,,,,,,30,,,,,,,,49,,30,49,19
11/05/2023,M56,Group,KKR,RR,Eden Gardens,1,1,,,,,,,1,,,,,,,,49,,,,,,,,49,,49,49,0
12/05/2023,M57,Group,MI,GT,Wankhede,1,1,,,,,,,1,,,,,,,,49,,,,,,,,49,,49,49,0
13/05/2023,M58,Group,SRH,LSG,Hyderabad,1,1,,,,,,,1,,,,,,,,49,,,,,,,,49,,49,49,0
13/05/2023,M59,Group,DC,PBKS,Delhi,2,2,1,,,,,,1,,19,,,,,,49,,0,,,,,,0,,68,0,-68
14/05/2023,M60,Group,RR,RCB,Jaipur,4,3,1,,2,,,,1,,19,,58,,,,49,,0,,58,,,,0,,126,58,-68
