MatchID,Player_name,Team,Fantasy role,Points,Sel_pct,C_pct,VC_pct,x11
M1,R Gaikwad,CSK,BAT,140.0,76.81,6.31,6.57,True
M1,S Gill,GT,BAT,101.0,87.25,15.46,10.87,True
M1,R Hangargekar,CSK,BOWL,83.0,2.43,0.09,0.11,True
M1,Rashid Khan,GT,BOWL,77.0,80.2,2.87,5.7,True
M1,M Shami,GT,BOWL,62.0,68.68,2.02,3.27,True
M1,W Saha,GT,WK,55.0,17.85,0.9,0.96,True
M1,A Joseph,GT,BOWL,54.0,31.09,1.36,1.72,True
M1,V Shankar,GT,ALL,43.0,2.52,0.1,0.14,True
M1,R Jadeja,CSK,ALL,40.0,82.2,7.78,11.36,True
M1,M Ali,CSK,ALL,35.0,56.83,3.64,5.08,True
M1,J Little,GT,BOWL,35.0,5.89,0.31,0.38,True
M1,S Dube,CSK,BAT,33.0,12.49,0.5,0.6,True
M1,M Dhoni,CSK,WK,29.0,33.69,2.71,1.62,True
M1,S Sudharsan,GT,BAT,29.0,2.16,0.08,0.09,True
M1,T Deshpande,CSK,BOWL,23.0,0.71,0.03,0.03,True
M1,R Tewatia,GT,BAT,22.0,18.22,0.52,0.87,True
M1,A Rayudu,CSK,BAT,18.0,26.29,0.99,1.16,True
M1,M Santner,CSK,ALL,13.0,8.17,0.37,0.59,True
M1,B Stokes,CSK,ALL,12.0,77.92,9.72,13.7,True
M1,H Pandya,GT,ALL,12.0,92.68,26.8,16.1,True
M1,D Conway,CSK,WK,5.0,76.57,7.33,5.91,True
M1,K Williamson,GT,BAT,4.0,54.48,2.84,3.55,True
M1,D Chahar,CSK,BOWL,4.0,67.69,1.46,2.45,True
M1,Y Dayal,GT,BOWL,4.0,3.59,0.13,0.15,True
M1,N Sindhu,CSK,ALL,0.0,0.43,0.02,0.03,False
M1,K Srikar-Bharat,GT,WK,0.0,1.84,0.13,0.13,False
M1,A Rahane,CSK,BAT,0.0,4.88,0.23,0.27,False
M1,S Senapati,CSK,BAT,0.0,0.35,0.03,0.03,False
M1,S Rasheed,CSK,BAT,0.0,0.56,0.06,0.07,False
M1,A Manohar,GT,BAT,0.0,1.36,0.03,0.04,False
M1,M Sharma,GT,BOWL,0.0,0.44,0.02,0.02,False
M1,J Yadav,GT,BOWL,0.0,0.48,0.03,0.03,False
M2,A Singh,PBKS,BOWL,85.0,83.52,4.54,7.15,True
M2,S Raza,PBKS,ALL,76.0,41.35,2.75,3.51,True
M2,B Rajapaksa,PBKS,WK,75.0,58.37,1.87,1.85,True
